Description,CPT,Gross Charge
COMPREHENSIVE ED VST,99285,5881.0
S-INJ HIP ARTH ANEST,27095,788.0
IVIG (OCTAGAM) 500MG,J1568,278.0
DEXRAZOXANE 25OMG IJ,J1190,846.0
S-SEC ART M THRO ADD,SURG,2205.0
HRDTRY PERPH NEURPHY,81448,2880.0
FMR1 GENE ALLELES,81244,155.0
CC-INJ SUPRV AORTOGR,93567,3442.0
HALOPER DEC 50MGINJ,J1631,126.0
"IC-PTCA, SINGLE",92920,27408.0
ONDANSETRON 1MG ODT,Q0162,22.0
BARTONELLA AB,86611,93.0
CT-LUNG LOWDSE SC WO,71271,592.0
AFP SERUM,82105,225.0
FL-SMALL BOWEL DR,74250,1566.0
S-PRCD DRG 6YR WO CG,SURG,5298.0
FAT-LIPID FECES QUAL,82705,106.0
S-JOINT ASP-INJ SM,20600,1013.0
ATROPINE 0.01MG INJ,J0461,1.2
PAMG-1 QUALITATIVE,84112,389.0
S-INJ CATH HYSTERSO,58340,979.0
S-H RBC L-R IRRAD,P9040,1851.0
"T3,TOTAL",84480,169.0
CC-RV IVL STN ATH TB,SURG,49206.0
HYDROXYZI UP TO 25MG,J3410,125.0
VANCOMYCIN,80202,104.0
PNEUMO-VAC 2YR-ADULT,90732,167.0
COVID19 AG HITHRU PR,U0003,169.0
VANCOMYCIN 500MG INJ,J3370,22.0
HEMOGLOBIN ELECTRO,83020,82.0
COSYNTROPN .25MG INJ,J0834,384.0
"FETAL HGB, ROSETTE",85461,442.0
NEUR RE-ED-15MIN PT,97112,388.0
KETOROLAC 15MG INJ,J1885,47.0
COCCIDIOIDES AB,86635,103.0
ENOXAPARIN 10MG INJ,J1650,24.0
CAROTENE,82380,52.0
MINOR PROCEDURE,SURG,285.0
CFTR GENE ANALY CV,81220,523.0
HEP B SURF AB,86706,201.0
CATH THRMB/EMBOL 1,C1757,4833.0
SEX HORM BIND GLOB,84270,70.0
THER EXRCS-15MN COTA,97110,304.0
MAJOR PROCEDURE,SURG,2799.0
"PROTOPORPH,RBC,QUAN",84202,98.0
CC-RV IVL ATHR TB/PE,SURG,49206.0
PAP THINLAY LIQ DIAG,88142,233.0
METHYLPRED 125MG INJ,J2930,36.0
CIPROFLOXAC 200MG IV,J0744,23.0
CBC W-PLT AUTO COMPD,85025,312.0
IR-ABSC DRN CATH PLA,75989,12255.0
"NK CELLS, TOTAL CNT",86357,261.0
CHLOROPROC 1MG INJ,J2401,0.24
COVID19 AB,86769,166.0
NM-TUMR LOC BDY >1D,78804,6950.0
PROPOFOL 10MG INJ,J2704,0.7
IMM ADM FLU VACCINE,G0008,249.0
MR-ORBT FACE NECK WO,70540,2922.0
"CARDIOLIPIN AB,IGG",86147,166.0
UE-FINGER 2 VW BI DR,73140,978.0
CHLORPROMAZIN 5MG PO,Q0161,8.4
IMF/SPEC ADD AB ST,88350,418.0
"PREGNENOLONE,17-OH",84143,187.0
US-CHEST MEDIASTINUM,76604,999.0
CYTOMEG DNA QUANT,87497,1171.0
CATH URETERAL 1,C1758,1211.0
LEUCOVORIN 50MG INJ,J0640,60.0
BCR-ABL1 MINOR QL-QN,81207,878.0
URGENT CARE LVL 3 EP,G0463,98.0
CHLORIDE URINE RAN,82436,175.0
PNEUMOCOC 15-VAL IM,90671,800.0
CULT ANAERO IDENT EA,87076,275.0
OR LEV 1 EA ADD MIN,SURG,87.0
PHENOBARBITAL,80184,79.0
IR-REMVLOBSTR VENOUS,75901,2801.0
PRS-ORT SUB-15MN OT,97763,245.0
FL-NEDL GUIDE FLUORO,77002,1772.0
"CALCITONIN,SAL 400IU",J0630,11275.0
OTH DIALY SING EVAL,90945,7126.0
HEP BE AB,86707,214.0
NM-TUMOR LOC MULTI,78801,2056.0
RENIN,84244,357.0
FL-PHARYNX ESOPHAGUS,74210,1194.0
US-PELVIS NON OB FU,76857,677.0
MNL THRPY-15 MIN PT,97140,281.0
ALLERGEN IGG QT,86001,38.0
S-INTROCATH AORTA,36200,60052.0
"EPSTEIN-BARR, EBNA",86664,146.0
PULSE OX CONTINUOS,94762,1056.0
PROTHROMB COM 1UN IX,J7168,8.7
CAR SEAT BED TST 60M,94780,793.0
US-EXT VEINS DPLX WC,93970,2610.0
HEMOLYS-AGGLUT AUTO,86940,40.0
TOBRAMYCIN UPTO 80MG,J3260,44.0
ALBUMIN 25% 50ML IV,P9047,358.0
"HELMINTH AB, NOS",86682,237.0
VEEG 12-26HRS CONTIN,95716,4711.0
TISSUE CULT LYMPHOCY,88230,985.0
INFAGT DT QLSQT GIAR,87329,312.0
REMDESIVIR 1MG INJ,J0248,6.5
US-SCROTUM,76870,1454.0
CH-ABDOMEN 1 VIEW DR,74018,676.0
ATROPINE 0.01MG INJ,J0461,0.5
SEMEN ANYL PRES-M-S,89321,151.0
CT-ABDOMEN WWO,74170,5411.0
S-IN PICC WOIMG GT5Y,SURG,4548.0
CT-3D W POSTPROCESS,76377,2048.0
PHOSPHOLIPID AB,86148,151.0
IVIG (OCTAGAM) 500MG,J1568,283.0
MSED SAMEGT5 1ST15,99152,1259.0
CATH-DRAINAG LEVEL 8,C1729,12242.0
HEPARIN ASSAY,85520,616.0
ANTIDPRS NOS MS,80338,330.0
VENA CAVA FILTER 3,C1880,1390.0
UE-HAND 3V DR,73130,1162.0
OR LEV 6 EA ADD MIN,SURG,175.0
OASIS WOUND MAT SQCM,Q4102,54.0
CRYOFIBRINOGEN,82585,52.0
CULT FUNGUS ISOLATIO,87102,382.0
DIAZEPAM 5MG INJ,J3360,83.0
S-SINUS TRCT INJ DIA,SURG,532.0
BLOOD PUSH TRAN U2YR,36440,2630.0
NALOXONE HCL 1MG INJ,J2310,98.0
BONE SRVY INFANT DR,77076,645.0
NEWBORN RESUCITATION,99465,1885.0
OCTREOTIDE ND 25MCG,J2354,15.0
HYDROMORPH UP TO 4MG,J1170,50.0
ALDOSTERONE,82088,322.0
ADM COV2 VAC (P) 2ND,0002A,60.0
"ANTITHROMBIN III, AG",85301,260.0
HE-MASTOID 3VPLUS DR,70130,919.0
PAIN MGMT AD PROC L1,SURG,1184.0
THER EXRCS-15MIN PTA,97110,304.0
TOCILIZUMAB 1MG INJ,J3262,21.0
AMYLASE,82150,173.0
FETAL NON STRESS TES,59025,2960.0
CC-RV IVL STNT TB/PR,SURG,49206.0
"FLOWCYTOMETRY-TC,ADD",88185,316.0
TRICH VAG DIR PRTECH,87660,113.0
IR-TLUM BAL ANG 1STV,SURG,27154.0
"BACTERUIM AB, NOS",86609,72.0
ADHESION BARRIER1,C1765,1499.0
PROTEIN TOT SER PLWB,84155,89.0
MR-TMJS,70336,6903.0
IR-ANGIO ADD VESSEL,75774,2801.0
OT EVAL- LOW CMP OT,97165,996.0
AUD EVOKE HR BRD STM,92651,445.0
"DETECT AGNTNOS,DNAAM",87798,148.0
ENZYME HISTOCHEMISTR,88319,187.0
ANGIOTENSIN CONV ENZ,82164,228.0
FATTY ACIDS LG CHAIN,82726,510.0
IVIG (OCTAGAM) 500MG,J1568,278.0
Q91771 MYD88 MA,81305,415.0
JOINT DEVICE IMPLT 5,C1776,31106.0
MICROSAT INSTAB VAR,81301,1113.0
CC-L HRT ARTERY-VENT,93458,58113.0
"AG DETEC NOS,EIA MUL",87449,412.0
IV THER AD SEQ 1 HR,96367,718.0
"COMPLEMENT AG, EA",86160,176.0
CT-ABDOMEN W,74160,3907.0
LEUTENIZING REL FAC,83727,722.0
IR-ANGIO EXTREM BI,75716,13310.0
VASOINTESTINAL PEP,84586,288.0
LIDOCAINE 10MG IV,J2001,0.2
"ASO,TITER",86060,71.0
GUIDEWIRE LEVEL 13,C1769,7914.0
PACLITAXEL 1MG INJ,J9267,1.6
SURG PATH GROSS LVL2,88302,255.0
PLASMINOGEN ACTIVATO,85415,195.0
"B CELLS, TOTAL COUNT",86355,261.0
EMBOLIZ PROTECT SYS4,C1884,1390.0
ANCHOR/SCRW LEVEL 14,C1713,24482.0
MESH IMPLANTABLE 4,C1781,10486.0
S-H 1 DONOR FFP,P9017,588.0
"IMMUNOASSAY, OTHER",83516,338.0
UE-AC JTS BILAT DR,73050,1020.0
EMBOLIZATION COIL 3,L8699,2779.0
BLOOD TRANSF 4 6 HRS,36430,3973.0
HE-NASAL BONES DR,70160,923.0
UE-ELBOW 3VW BI DR,73080,1521.0
CH-ABDOMEN 3VWS DR,74021,902.0
BLD COLLECT VAD,36591,432.0
US-ABDOMEN RETRO LMT,76775,839.0
OR LEV 4 INI 15 MIN,SURG,13360.0
HYDROXYPROGES 17-D,83498,225.0
PRS DRG IA ANAZ,80307,408.0
GUIDEWIRE LEVEL 2,C1769,1815.0
TRIAGE ONLY,T5999,303.0
"UA, AUTO W-SCOPE",81001,195.0
PURAPLY AM SQ CM,Q4196,557.0
"LIPOPROTEIN, LDL",83721,153.0
COPPER SERUM,82525,109.0
US-PLV PREG FU ABD,76816,1002.0
BR-TOMO MAMMO BI,G0279,248.0
OR LEV 5 EA ADD MIN,SURG,158.0
S-BX NDL LIVER,47000,8106.0
LE-ANKLE 3VWS BI DR,73610,1874.0
LACTATION CONSULT,S9443,53.0
NPM1 EXON 12 VARIANT,81310,894.0
PAMIDRONATE 30MG IJ,J2430,68.0
BR-BRST BX LOC CLP A,MANUL,5458.0
BUPRENORPHINE MS,80348,109.0
FENTANY CIT 0.1MGINJ,J3010,47.0
MUMPS AB,86735,115.0
MECH VENT DAILY SUBS,94003,6812.0
DBRD NON-SEL-VIS PT,97602,955.0
L&D OBSERV ADDL HOUR,G0378,461.0
L550123 HCV FS,81596,254.0
FL-ESOPHAGUS,74220,1194.0
COCAINE MS,80353,111.0
FL-UROGRAPH RETRO DR,74420,2156.0
THER EXRCS-15MIN OT,97110,304.0
"CRYSTAL ID,TISSUE,FL",89060,289.0
CDC COVID19,U0001,116.0
UE-AC JTS BILAT DR,73050,1020.0
SIROLIMUS 1MG PO,J7520,123.0
DEXAMETH NA 1MG INJ,J1100,12.0
S-PRIM ART MECH THRO,SURG,43620.0
IVIG (GAMMAGD) 500MG,J1569,259.0
IR-FIX G COLON TUBE,SURG,2717.0
HE-TMJ BILATERAL DR,70330,807.0
IR-VASC EMB-OCC ARTY,SURG,56652.0
PENTAMIDIN 300MG INJ,J3490,600.0
"ENTEROVIRUS,DNA, PRO",87498,256.0
AD PROCEDURE OR LV 3,SURG,3436.0
GUIDEWIRE LEVEL 1,C1769,605.0
EPOET ALF-EPBX 1000U,Q5106,40.0
"ORGAN ACID,QUAL,EA",83919,905.0
ACETON-KETON SERM QL,82009,188.0
EPO 1000UN INJ NESRD,J0885,96.0
S-SPINAL TX DRN CSF,62272,3088.0
S-ABD/RETRPER NDL BX,SURG,8106.0
ANTIEPILP NOS MS 1-3,80339,74.0
CC-INSERT IABP,SURG,4285.0
DERMAGRAFT SQ CM,Q4106,186.0
"LIPOPROTEIN, HDL",83718,101.0
AD PROCEDURE OR LV 2,SURG,2864.0
CONN TISSUE HUMAN 6,C1762,29723.0
CYP2D6 GENE ANALY CV,81226,1850.0
GAIT TRNNG-15MIN PTA,97116,420.0
US-ABDOMEN RETROPER,76770,1131.0
CHROMOS STDY ADD HIG,88289,244.0
CARB DEFIC TRANSFER,82373,236.0
CT-LOWER EXT WO BI,73700,6032.0
NALOXONE HCL 1MG INJ,J2310,94.0
KETOROLAC 15MG INJ,J1885,23.0
VITAMIN B-6,84207,317.0
S-MYELOGRAM INJ,62284,1952.0
SUCCINYLCHN 20MG INJ,J0330,47.0
HEPATITIS B GLOB 1ML,90371,318.0
BR-DIG MAMMO SCRN UN,77067,230.0
OT EVAL-HGH CMP COTA,97167,996.0
IR-IRR PORT DRUG DEL,96523,990.0
FONDAPARIN 0.5MG INJ,J1652,19.0
REP DEV URINRY W/SL1,C1771,5991.0
G6PD GENE ANALY COM,81247,600.0
MRA-UPPER EXTR W,C8934,2324.0
VKORC1 GENE ANALY CV,81355,282.0
ANTIPSYCH NOS MS 1-3,80342,88.0
THEOPHYLLINE,80198,457.0
"STREP A,DNA,AMP PROB",87651,111.0
CHLORIDES OTHER FLD,82438,30.0
IR-INJ NEPH URT EXST,SURG,2955.0
LEVEL 4 NP,G0463,1556.0
BLOOD TRANSF 2 4 HRS,36430,3973.0
ZOLEDRONIC ACID 1MG,J3489,830.0
ALDOLASE,82085,184.0
ALPROSTAD 1.25MCGINJ,J0270,1.2
CT-CERV SPINE WWO,72127,5411.0
ALLERGEN IGE QUANT,86003,35.0
FLU VAC QUAD 3YR-ADU,90688,90.0
SPLNT FNGR STATC OT,29130,313.0
GAMMAGLOB M-G-A-D,82784,204.0
CT-CHEST DIAG WO,71250,2469.0
LEVEL 4 EP,G0463,1115.0
TISSUE NON-HUMAN 1,C1763,3745.0
GRAFT VASCULAR 4,C1768,19848.0
"FLUORESCENT AB,SCREE",86255,110.0
CYP3A4 GENE COMMON,81230,557.0
CULT BACT ANA ANY SO,87075,542.0
S-ABD/RETRPER NDL BX,SURG,8106.0
SPLT SHRT ARM ST OT,29125,744.0
NM-BONE SCAN BODY,78306,3169.0
ISLET CELL AB,86341,119.0
PEEL-AWAY SHEATH 3,C1892,800.0
US-HIPS INFANT W MAN,76885,845.0
S-VENOUS M THROMB AD,SURG,13437.0
MITOMYCIN 5MG INJ,J9280,531.0
CAR SE-BED TST AD 30,94781,1189.0
OT EVAL- MOD CMP OT,97166,996.0
TRB GENE REARRANGE,81340,1168.0
IR-DILATION GU,74485,8010.0
CANNABINDS NATUR MS,80349,74.0
HYDROXYZI UP TO 25MG,J3410,69.0
"UA, AUTO, W-O SCOPE",81003,136.0
THER ACTV-15MIN COTA,97530,323.0
COMPATIB TEST INCUB,86921,78.0
HIV1 AG W HIV 1 2 AB,G0475,135.0
DIALYSIS EMERGENT,G0257,2650.0
LEAD NEUROSTIMULAT 2,C1778,6224.0
"ORGAN ACID,TOT,QUAN",83918,78.0
MORCELLATOR 1,C1782,7498.0
PIPER/TAZOB 1G/.125G,J2543,21.0
S-JOINT ASP-INJ IM,20605,1051.0
IV THERAPY EA AD HR,96366,327.0
DESMOPRESSIN 1MCGINJ,J2597,91.0
ADM IV INF CASI IMDV,M0243,1079.0
RBC OSMOTIC FRAG W-O,85555,222.0
ESTRADIOL FREE DIR,82681,231.0
IMPLANT OTHER LVL 7,C1889,17859.0
"THROMBOLY,CORONRY,IV",92977,4159.0
"PANCREA ELASTAS,FEC",82656,932.0
S-INTROCATH VENACAVA,36010,2801.0
S-CATH EXTREM ART,36140,1400.0
S-THYROID CORE BX,60100,1947.0
"FACTOR II,PROTHROMBI",85210,750.0
THERAPEUTIC DX SQ IM,96372,303.0
SHEATH NON-LASR 3,C1894,3527.0
I131 SOD IOD DX-MCI,A9528,504.0
PT EVAL- HGH CMP PTA,97163,633.0
DENOSUMAB 1MG INJ,J0897,75.0
NEUR RE-ED-15MIN PT,97112,388.0
HE-SKULL LIMITED DR,70250,986.0
SP-T SPINE 3 VIEW DR,72072,910.0
ALKALOIDS NOS MS,80323,319.0
IR-FISTULOGRAM CR,76080,1981.0
TISSUE CULT SKIN/BIO,88233,1028.0
NEG PRES WND LT 50CM,97605,973.0
UE-FINGER S 2VPLS DR,73140,488.0
LEFLUNOMIDE QT,80193,124.0
ALPHA 1 PROTEI 10MG,J0256,18.0
PAIN MGMT IN PROC L2,SURG,4296.0
VON WILL INJ CPX IU,J7186,4.7
IBUTILIDE 1MG INJ,J1742,1119.0
BLOOD TYPING ABO,86900,109.0
S-RENAL BX NEEDLE,SURG,8106.0
IR-PLC URTL STNT EXS,SURG,12633.0
CYTOPATH CONCENT TEC,88108,255.0
IC-PRQ RV BYP GRF IN,92937,64749.0
LORAZEPAM 2MG INJ,J2060,23.0
S-RENAL BX NEEDLE,SURG,8106.0
UTG1A1 GENE ANAYL CV,81350,747.0
BR-PLC LOC DV AD STR,MANUL,3452.0
ALBUMIN FLUID,82042,181.0
CT-CERV SPINE WO,72125,3701.0
CYTOPATH FLD NOT V-C,88104,208.0
SP-LS SPINE BND DR,72120,561.0
DEX 5%/WATER 500ML,J7060,193.0
TOBRAMYCIN UPTO 80MG,J3260,47.0
"IC-PTCA, ADDL",92921,15611.0
ARIPIPRAZ ER 1MG IM,J0401,20.0
OBSERVATION 1ST HOUR,G0378,2093.0
HLA1 TYP LR 1 AG EA,81374,857.0
ESTM UNAT A30 DY PT,G0281,347.0
IR-RPL GASTRO J TUBE,49452,2717.0
HEMOGLOBIN A1C,83036,256.0
ALTEPLASE RECOM 1MG,J2997,317.0
DECALCIFY TISSUE,88311,90.0
"RESP SYNCYTIAL AG,EI",87420,638.0
S-REM-REP PM GEN SNG,SURG,8936.0
IR-ANGIO VISCERAL SE,75726,22988.0
ALLG SPEC IGE REC EA,86008,79.0
TD IM NO PRSRV GE 7Y,90714,197.0
NUCLEOTIDASE 5',83915,74.0
SP-CERV SP 4TO5VW DR,72050,940.0
"PSA, TOTAL",84153,294.0
TISSUE CULT BONEMARR,88237,2545.0
"G6PD, QUANT",82955,60.0
PROLACTIN,84146,299.0
S-IN PICC WOIMG GT5Y,SURG,4025.0
ACETAZOLAMI 500MGINJ,J1120,228.0
S-BX LYMPH SUPRF NDL,SURG,3325.0
INTERMEDIATE PROCEDR,SURG,477.0
S-REVISION TIPS,37183,27408.0
ADM COV2 VAC JANSSEN,0031A,60.0
US-EXT VEINS DPX LTD,93971,1702.0
HLA CLASS 1 SQT PNL,86834,1571.0
PAPAVERINE UPTO 60MG,J2440,200.0
STNT NON-COR TM DL 1,C2625,1815.0
UE-ELBOW 2V DR,73070,717.0
"TUMOR AG, OTHER",86316,591.0
IR-RVSC IV ESWL STNT,SURG,49206.0
DEBRDE LE 20SQCM PTA,97597,790.0
CHROMIUM,82495,140.0
CHEMO INTRATHEC,96450,3294.0
"IMMUNOASSAY, NOS",83520,108.0
ANTI-ENA,86235,229.0
HOT-COLD PACKS PT,97010,39.0
"VENIPUNCTURE,ROUTINE",36415,60.0
MYCOPLASMA AB,86738,355.0
"URIC ACID,URINE RAND",84560,87.0
"HPYLORI,STOOL,EIA",87338,673.0
JOINT DEVICE IMPLT 9,C1776,86407.0
SMEARWET MOUNT SAL-I,87210,195.0
"THYROXINE T4, FREE",84439,211.0
"PHOSPHORUS, URINE",84105,151.0
REPTILASE TEST,85635,53.0
"TESTOSTERONE, TOTAL",84403,345.0
DEXAMETH 0.25MG ORAL,J8540,0.7
HEPARIN 1000U INJ,J1644,182.0
CEFEPIME 500MG INJ,J0692,15.0
CHLMYD PNEUM DNA AMP,87486,386.0
PROBE CRYOABLATION 1,C2618,5020.0
BEVACIZUMAB 10MG INJ,J9035,287.0
LE-HIP PV UN2OR3V DR,73502,725.0
REP DEV URINRY W/SL2,C1771,18606.0
KRAS VARIANTS 12-13,81275,473.0
"PHOSPHORUS, BLOOD",84100,151.0
S-PER INS LH VAD ART,SURG,2942.0
IV HYDRAT EA ADD HR,96361,242.0
USTEKINUMAB 1MG IV,J3358,48.0
BENZTROPN MES 1MGINJ,J0515,125.0
METHYLPRED 40MG INJ,J2920,47.0
KETOROLAC 15MG INJ,J1885,12.0
IR-XTRCRAN VERT STNT,SURG,15444.0
CLONIDINE HCL 1MG,J0735,21.0
CEFTA.5-AVIBAC.125GM,J0714,323.0
ANCHOR/SCRW LEVEL 2,C1713,1041.0
CT-HT CARD FUNC W,75574,1194.0
CT-ABD PELVIS WWO,74178,5455.0
"PHOSPHATASE,ALKALINE",84075,85.0
US-NON INV ARTER EXT,93923,695.0
THER AD IVP SAME MED,96376,679.0
MRA-NECK W,70548,5078.0
"MYCOBACTERIA,DNA,AMP",87551,174.0
MR-UPPER JOINT WWO,73223,5918.0
SODIUM OTHER SOURCE,84302,30.0
DEXTRAN 40 500ML INF,J7100,182.0
MIDAZOL HCL 1MG INJ,J2250,23.0
IR-ARTHROGRAM ANKLE,73615,1557.0
LE-TIB FIB 2V BI DR,73590,1839.0
S-JNT ASP INJ MAJ UN,SURG,957.0
FOLIC ACID SERUM,82746,301.0
GOLIMUMAB IV 1MG,J1602,137.0
ALBUMIN(HU) 5% 50ML,P9041,197.0
5-HIAA,83497,115.0
TC-99M AUTO WBC-DOSE,A9569,9567.0
IR-CATH FLUID DRAIN,10030,6108.0
MR-CHEST WO,71550,3816.0
TL201 THALC PER MCI,A9505,218.0
CHEMO EA AD IV PUSH,96411,805.0
CALCIUM URI QN TIMED,82340,106.0
FULVESTRANT INJ 25MG,J9395,261.0
US-DPLX IMT GFT ARTA,93979,1308.0
SHEATH NON-LASR 4,C1894,7661.0
ENTEROVIRUS AB,86658,281.0
ELEC STM-UNAT-VI OT,G0283,88.0
TISSUE MARKR IMPLT 3,A4648,1446.0
"THYROXINE T4,TOTAL",84436,216.0
US-ELASTOGRAPHY 1LES,76982,423.0
AMPHOTER B LIPO 10MG,J0289,187.0
S-TIB PER REVAS W TL,SURG,56652.0
STNT NO COCV W/DEL 1,C1876,7487.0
NM-TUMR LOC SPECT 1D,78803,4638.0
LE-PELVIS 3V PLUS DR,72190,935.0
SP-CERV SP 2TO3VW DR,72040,806.0
"SED RATE, AUTOMATED",85652,147.0
S-BX NDL LIVER,47000,8106.0
THYROID STIM TSH,84443,272.0
LOCM 300-399MG/ML 1M,Q9967,3.7
IMP PUMP FILL BY MD,95991,901.0
"HEP A AB, IGM",86709,101.0
S-CYSTOGRAM INJ,51600,576.0
MOLEC PATH LEV 1,81400,424.0
US-EXT LTD JNT UNI,76882,435.0
CT-LUMB SPINE WO,72131,3290.0
HAEMO/MENIN VAC 0.5,90647,149.0
BARTONELLA DNA AMPPR,87471,400.0
APLIGRAF SKIN SQ CM,Q4101,94.0
UE-FINGER S 2VPLS DR,73140,488.0
LYMPH TRANSFORM,86353,183.0
CHLAMYDIA IGM AB,86632,390.0
S-INJ HIP ARTH ANEST,27095,788.0
NI-TTE STRESS CON WO,93351,2152.0
URGENT CARE LVL 4 NP,G0463,183.0
INOP CYTOPAT CNSLT 1,88333,191.0
L4 TRAUMA CTR EVAL,G0390,6721.0
MICROSLID CONSUL-W-P,88323,375.0
NEG PR WN LT50CM PT,97605,955.0
HOMOCYSTEINE,83090,534.0
MYCOPHENOL AC 180MG,J7518,21.0
CT-ABSC DRN CATH PLA,75989,12255.0
PT RE-EVAL-VISIT PT,97164,383.0
FL-FNA W IMG ADD LES,MANUL,1190.0
WHLCHR MGT-15MIN PTA,97542,279.0
LE-HIP UNILAT 1V DR,73501,620.0
MSH2 GENE ANALY FULL,81295,609.0
OR LEV 3 INI 15 MIN,SURG,11452.0
PML-RAR TRANS QL-QN,81315,644.0
"HCG, QUAL",84703,201.0
IMM ADM HEP B VACCIN,G0010,249.0
GARDNER VAG DNA DIRP,87510,113.0
IR-TRNSCTH THROM ART,SURG,20337.0
AMINO ACID SING QUAN,82131,694.0
VINBLASTIN SULF 1MG,J9360,22.0
"VMA, URINE",84585,362.0
JOINT DEVICE IMPLT 8,C1776,62212.0
THERAPEUTIC DX SQ IM,96372,309.0
DEBRIDE LE 20 SQ CM,97597,918.0
ADHESION BARRIER2,C1765,3630.0
GENTAMICIN UPTO 80MG,J1580,47.0
TPMT GENE COM VAR,81335,557.0
CALCIUM GLUC 10%10ML,J0610,40.0
IR-ANG EXT CRT NS,36221,13437.0
PROS TRN IN15MI COTA,97761,245.0
MR-LUMB SPINE W,72149,4512.0
IVIG (PRIVIGEN)500MG,J1459,300.0
OASIS BURN MAT SQ CM,Q4103,46.0
LE-HIP PV UN2OR3V DR,73502,725.0
US-EXT COMP JNT UNI,76881,1124.0
MR-BRAIN WO,70551,4393.0
CH-BABYGRAM FB DR,76010,593.0
RESP VIRUS 12-25 TAR,87633,1436.0
IC-PRQ CARD REV 1 VS,92941,64749.0
IMPLANT OTHER LVL 4,C1889,9354.0
CEFAZOLIN 500MG INJ,J0690,23.0
S-SKIN BIOP PUNC 1LE,SURG,733.0
OR LEV 5 EA ADD MIN,SURG,176.0
CC-ANGIO CORON ONLY,93454,46464.0
SP-EVAL SWL W-RADOPQ,92611,2732.0
SLPSTDY UNATT RS EFF,95806,4022.0
ACETON-KETON SERM QT,82010,58.0
THER ACTVT-15MIN OT,97530,323.0
CELL CTW-DIF BODYFLU,89051,544.0
HE-TMJ BILATERAL DR,70330,762.0
MESH IMPLANTABLE 8,C1781,17627.0
MORPHINE UP TO 10MG,J2270,47.0
IMM ADM FLU VACCINE,G0008,254.0
S-REM ENDO VENA CAVA,37193,14575.0
AMIKACIN,80150,95.0
MICRODISSECTION MANU,88381,288.0
MEPIVACAINE 10ML INJ,J0670,17.0
BILE ACIDS TOTAL,82239,104.0
DEX 5%/WATER 500ML,J7060,182.0
CYCLOSPORINE 25MG PO,J7515,11.0
"OSMOLALITY, BLOOD",83930,358.0
OR LEV 4 EA ADD MIN,SURG,154.0
L&D OBSERV 1ST HOUR,G0378,1980.0
CH-CHEST 1V DR,71045,727.0
SOMATOMEDIN,84305,179.0
S-INTROCATH RHRT-PUL,36013,2801.0
BUTORPHANOL 1MG INJ,J0595,47.0
HIV GEN DNA REV OTH,87906,595.0
FL-UCG RETRO DR,74450,1635.0
US-HEAD NECK SFT TIS,76536,1133.0
IMPLANT OTHER LVL 5,C1889,14550.0
PROCEDURE MINOR,SURG,782.0
NI-TTE CONG COMP WO,93303,4509.0
PHYS PERF-15 MIN PT,97750,304.0
RITUXIMAB 10MG INJ,J9312,338.0
IR-INTRAVASC US INI,SURG,19928.0
AMPHETAMINES MS 1-2,80324,310.0
PROTEIN TOT OTHR SRC,84157,505.0
FACTOR VIII RISTOCET,85245,204.0
CARBOPLATIN 50MG INJ,J9045,33.0
FACTOR VII ASSAY,85230,121.0
PENICI G POT .6MUINJ,J2540,7.8
NM-BONE SCAN LMTD,78300,2573.0
COG SKL DV ADD15 SP,97130,235.0
MYOGLOBIN,83874,376.0
CHEMO IV INFU 1ST HR,96413,1942.0
PORT 2,C1788,4492.0
NICKEL,83885,144.0
BLOOD TRANSF 0 2 HRS,36430,3973.0
S-TIB-PER REV ATH AD,SURG,406.0
S-BX LYMPH SUPRF NDL,SURG,3325.0
CNS DNA AMP PR 12-25,87483,2153.0
S-INJ SHOULDER ARTH,23350,1075.0
SPLNT FNGR STATC OT,29130,313.0
"CMV AB, IGM",86645,146.0
SOD FERRIC 12.5MGINJ,J2916,36.0
IR-ARTHROGRAM ELBOW,73085,1542.0
CT-NECK SOFT TIS WO,70490,3342.0
STNT COAT/COV W/DEL3,C1874,25921.0
ADM COV2 VAC (M) 1ST,0011A,59.0
CT-HEAD W,70460,4484.0
CC-S-I VNT ATR ANGIO,93455,74288.0
S-BX NDL LIVER,47000,8106.0
HYDROXYPROGES 17-D,83498,225.0
MYCOPHE MOF 250MG PO,J7517,17.0
TRIAMCIN ACE 10MGINJ,J3301,12.0
DIAZEPAM 5MG INJ,J3360,78.0
HE-SINUSES LTD DR,70210,532.0
HLA2 TYP LR 1 AG EA,81377,608.0
GADOTERATE 0.1ML INJ,A9575,2.0
LE-ANKLE 3VPLUS DR,73610,936.0
NALBUPHINE 10MG INJ,J2300,47.0
SENS INTG-15MIN COTA,97533,186.0
SLF CRE MGT-15MN PT,97535,293.0
GENOTYPE CYTOMEGALOV,87910,2101.0
LE-ANKLE 3VPLUS DR,73610,936.0
"PROTEIN S, FREE",85306,101.0
CEFOXITIN 1GM INJ,J0694,255.0
ADM TOCLZMAB COV 2ND,M0250,954.0
"N.GONORRHO,DNA,AMPPR",87591,345.0
NEG PR WN GT50CM PTA,97606,1759.0
DEBRDE EA AD20CM PTA,97598,550.0
ACYLCARNITINES QUANT,82017,123.0
CH-STERNUM DR,71120,783.0
HOT-COLD PACKS OT,97010,39.0
IC-PRQ CRD STN W-ANG,92928,64749.0
LE-ANKLE 2V DR,73600,751.0
LEAD NEUROSTIMULAT 1,C1778,5315.0
